epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.162,1.34281,1.16063,1.2765,0.70655,0.56711,0.63508,0.3733,1.29332,0.96907,1.22122,0.00332767,0.00332767,0.00332767
2,367.793,1.37113,1.11988,1.28386,0.62955,0.52866,0.55718,0.30949,1.45436,1.18549,1.31984,0.00659506,0.00659506,0.00659506
3,543.09,1.52923,1.31659,1.38668,0.58056,0.45557,0.46731,0.23231,1.67918,1.48777,1.53202,0.00979645,0.00979645,0.00979645
4,716.737,1.61113,1.4212,1.44323,0.61778,0.4544,0.48561,0.25545,1.64804,1.37947,1.47497,0.009703,0.009703,0.009703
5,890.135,1.58141,1.3892,1.43269,0.59007,0.48997,0.50199,0.26725,1.57107,1.34095,1.4321,0.009604,0.009604,0.009604
6,1063.17,1.55073,1.35355,1.41765,0.62254,0.48939,0.52692,0.27984,1.55819,1.29004,1.42235,0.009505,0.009505,0.009505
7,1236.82,1.5217,1.31703,1.40432,0.62194,0.49597,0.5311,0.28778,1.54174,1.2502,1.41697,0.009406,0.009406,0.009406
8,1410.15,1.49672,1.29101,1.39161,0.64903,0.49785,0.54321,0.29451,1.5132,1.25535,1.40738,0.009307,0.009307,0.009307
9,1583.53,1.48401,1.2663,1.38588,0.64381,0.53286,0.56522,0.30926,1.49339,1.1811,1.38428,0.009208,0.009208,0.009208
10,1756.63,1.47988,1.25174,1.37758,0.64799,0.51354,0.55743,0.302,1.517,1.19083,1.38709,0.009109,0.009109,0.009109
11,1930.22,1.45402,1.21988,1.36234,0.64927,0.52439,0.5698,0.31869,1.45657,1.15777,1.3756,0.00901,0.00901,0.00901
