epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.888,1.44327,1.34139,1.29225,0.78858,0.35218,0.45587,0.24447,1.38097,1.06381,1.21468,0.00332772,0.00332772,0.00332772
2,217.521,1.44744,1.21277,1.27579,0.70362,0.4077,0.48737,0.24547,1.53508,1.48796,1.32353,0.00652917,0.00652917,0.00652917
3,320.071,1.57744,1.3888,1.36465,0.59647,0.34801,0.3729,0.18231,1.68834,1.49493,1.41201,0.00959861,0.00959861,0.00959861
4,420.721,1.64212,1.4686,1.41361,0.59574,0.38099,0.41207,0.18972,1.67539,1.42658,1.41063,0.009406,0.009406,0.009406
5,521.612,1.61446,1.42573,1.39183,0.55648,0.43712,0.44308,0.22157,1.62006,1.38491,1.39777,0.009208,0.009208,0.009208
6,622.655,1.58861,1.39574,1.38611,0.63065,0.38269,0.44784,0.23158,1.57715,1.33693,1.3632,0.00901,0.00901,0.00901
7,723.322,1.55907,1.35304,1.3634,0.64853,0.46107,0.48867,0.24648,1.58302,1.28023,1.37159,0.008812,0.008812,0.008812
8,823.75,1.54342,1.32934,1.35327,0.66167,0.4565,0.49834,0.26576,1.55392,1.24938,1.34228,0.008614,0.008614,0.008614
9,924.453,1.5284,1.31486,1.34842,0.6123,0.47008,0.49426,0.25904,1.51822,1.23781,1.32613,0.008416,0.008416,0.008416
10,1025.37,1.50878,1.28723,1.33805,0.58277,0.51337,0.5077,0.26885,1.51079,1.21005,1.32594,0.008218,0.008218,0.008218
11,1127.09,1.49709,1.2684,1.33304,0.66218,0.46539,0.49634,0.25786,1.50848,1.19335,1.31956,0.00802,0.00802,0.00802
12,1227.32,1.48665,1.25839,1.32516,0.61695,0.49751,0.50914,0.27346,1.51123,1.17944,1.31623,0.007822,0.007822,0.007822
13,1327.75,1.47669,1.23754,1.3132,0.67512,0.52887,0.55947,0.28415,1.48761,1.19308,1.31491,0.007624,0.007624,0.007624
14,1427.52,1.45843,1.224,1.30739,0.72991,0.49572,0.55306,0.29438,1.48571,1.15259,1.30464,0.007426,0.007426,0.007426
15,1528,1.46051,1.21074,1.30465,0.68622,0.48019,0.53554,0.28268,1.47936,1.13366,1.2908,0.007228,0.007228,0.007228
16,1628.52,1.44365,1.198,1.29294,0.7214,0.48455,0.54435,0.29092,1.47508,1.13505,1.27998,0.00703,0.00703,0.00703
17,1728.71,1.44382,1.19327,1.29167,0.68568,0.52203,0.55127,0.28808,1.45723,1.10322,1.28096,0.006832,0.006832,0.006832
18,1828.86,1.42511,1.17337,1.28687,0.7174,0.51882,0.56768,0.30219,1.45407,1.10416,1.27648,0.006634,0.006634,0.006634
19,1929.78,1.42691,1.17106,1.28508,0.68136,0.53066,0.56782,0.30831,1.44809,1.09395,1.28396,0.006436,0.006436,0.006436
20,2030.95,1.4127,1.15689,1.27835,0.65854,0.54619,0.56356,0.30563,1.43432,1.09421,1.27284,0.006238,0.006238,0.006238
21,2131.39,1.40814,1.14421,1.27141,0.73421,0.51357,0.57344,0.30698,1.43209,1.07979,1.27297,0.00604,0.00604,0.00604
22,2231.59,1.40419,1.13623,1.26326,0.72369,0.52693,0.56783,0.31851,1.41983,1.06303,1.25809,0.005842,0.005842,0.005842
