epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81501,1.41355,3.32175,1.04486,0.91582,0.13136,0.13424,0.0851,1.11256,1.829,0.91449,8.888e-05,8.888e-05,8.888e-05
2,10.7239,1.13399,1.30371,0.93472,0.34469,0.38536,0.31658,0.19322,1.06784,2.09387,0.92285,0.000187,0.000187,0.000187
3,16.502,1.08318,1.04271,0.92664,0.54038,0.5458,0.50333,0.30632,1.16931,1.49533,0.93806,0.000283141,0.000283141,0.000283141
4,21.9466,1.08114,1.01095,0.92811,0.47708,0.54466,0.39473,0.26007,1.10405,2.00207,0.93878,0.000377301,0.000377301,0.000377301
5,27.4711,1.05691,1.0405,0.91913,0.44306,0.52698,0.48317,0.30735,1.14537,1.37107,0.96686,0.000469482,0.000469482,0.000469482
6,33.2019,1.0616,0.88144,0.93178,0.34473,0.62447,0.32549,0.21206,1.08725,6.41802,0.94655,0.000559683,0.000559683,0.000559683
7,38.4145,1.05736,0.94434,0.90899,0.48181,0.5953,0.45931,0.2827,1.07672,12.1848,0.94771,0.000647904,0.000647904,0.000647904
8,43.6452,1.02879,0.79994,0.92633,0.5458,0.54543,0.5758,0.37589,1.07438,0.95032,0.94063,0.000734145,0.000734145,0.000734145
9,48.868,1.07495,0.80602,0.92493,0.59583,0.59596,0.58832,0.37588,1.09805,1.07596,0.96808,0.000818407,0.000818407,0.000818407
10,54.2905,1.00778,0.75616,0.91396,0.49411,0.58506,0.49267,0.28895,1.14305,1.16807,0.97423,0.000900689,0.000900689,0.000900689
11,60.0131,1.03281,0.76022,0.91072,0.58154,0.60527,0.60639,0.3882,1.06848,1.49884,0.97209,0.000980991,0.000980991,0.000980991
12,65.5798,1.0383,0.73835,0.9255,0.60878,0.6453,0.58146,0.3522,1.08249,0.97306,0.96874,0.000990012,0.000990012,0.000990012
13,70.7372,1.03455,0.69343,0.92125,0.63418,0.61533,0.62344,0.39614,1.06989,0.81833,0.96264,0.000979013,0.000979013,0.000979013
14,75.88,1.04506,0.72692,0.92599,0.6898,0.59382,0.65182,0.41043,1.10925,0.77866,0.97128,0.000968014,0.000968014,0.000968014
15,81.0807,1.01994,0.70811,0.9264,0.6473,0.67076,0.66075,0.43529,0.99734,0.83238,0.95234,0.000957015,0.000957015,0.000957015
16,86.2535,1.0389,0.72625,0.92384,0.72643,0.61297,0.6682,0.42327,1.03639,0.85791,0.95249,0.000946016,0.000946016,0.000946016
17,91.3316,0.99909,0.71128,0.92219,0.70329,0.69084,0.7041,0.44218,1.02076,0.75394,0.94371,0.000935018,0.000935018,0.000935018
18,96.4449,0.98963,0.67386,0.90997,0.69578,0.72625,0.65976,0.42791,1.03993,0.76909,0.95489,0.000924019,0.000924019,0.000924019
19,101.405,0.98036,0.63408,0.90579,0.6565,0.67514,0.61894,0.38285,1.07359,0.78227,0.96066,0.00091302,0.00091302,0.00091302
20,106.426,0.9737,0.63555,0.89645,0.73216,0.6013,0.6521,0.4024,1.06566,0.75076,0.95949,0.000902021,0.000902021,0.000902021
21,111.347,0.96148,0.6649,0.91753,0.71998,0.64955,0.68024,0.43496,1.01853,0.70819,0.94197,0.000891022,0.000891022,0.000891022
22,116.389,0.94047,0.61079,0.90624,0.70371,0.65295,0.6935,0.44768,1.0296,0.71533,0.95294,0.000880023,0.000880023,0.000880023
23,121.509,0.93733,0.6237,0.8976,0.67577,0.73875,0.71979,0.45796,1.07902,0.69411,0.96238,0.000869024,0.000869024,0.000869024
24,126.671,0.94465,0.60986,0.89482,0.69137,0.69778,0.68959,0.43896,1.05644,0.707,0.95264,0.000858025,0.000858025,0.000858025
25,132.394,0.94301,0.59104,0.89222,0.6983,0.72572,0.68629,0.43492,1.05388,0.73781,0.95334,0.000847026,0.000847026,0.000847026
26,139.672,0.947,0.61783,0.89794,0.7076,0.70609,0.71363,0.47579,1.00434,0.69408,0.93136,0.000836027,0.000836027,0.000836027
27,145.322,0.96328,0.61215,0.9002,0.74305,0.66982,0.73262,0.45752,1.04343,0.72593,0.95108,0.000825029,0.000825029,0.000825029
28,150.339,0.94828,0.6024,0.90457,0.77131,0.71484,0.7495,0.47882,1.01332,0.70058,0.94066,0.00081403,0.00081403,0.00081403
29,155.555,0.94291,0.57897,0.89577,0.78136,0.68852,0.72542,0.48396,1.03187,0.68191,0.95163,0.000803031,0.000803031,0.000803031
30,161.008,0.88997,0.54676,0.8898,0.73724,0.65917,0.71801,0.49587,0.97565,0.66799,0.94041,0.000792032,0.000792032,0.000792032
31,166.145,0.8932,0.55791,0.8745,0.73837,0.67308,0.73014,0.49105,0.99251,0.68175,0.93926,0.000781033,0.000781033,0.000781033
32,171.216,0.91784,0.5911,0.89168,0.68876,0.65838,0.7007,0.47691,0.9762,0.67675,0.93431,0.000770034,0.000770034,0.000770034
33,176.277,0.88823,0.58264,0.88028,0.75288,0.70473,0.76569,0.50295,1.00221,0.66954,0.939,0.000759035,0.000759035,0.000759035
34,181.556,0.88565,0.55854,0.87995,0.72269,0.66435,0.73013,0.50024,0.98521,0.69693,0.93454,0.000748036,0.000748036,0.000748036
35,186.604,0.87484,0.54628,0.87672,0.67586,0.67544,0.74584,0.50258,1.00406,0.71179,0.93976,0.000737037,0.000737037,0.000737037
36,191.845,0.87881,0.54191,0.88228,0.69901,0.72704,0.75586,0.51771,0.98651,0.68575,0.93474,0.000726038,0.000726038,0.000726038
37,197.051,0.87191,0.5599,0.88258,0.72797,0.75583,0.76695,0.5087,0.9883,0.66627,0.93686,0.00071504,0.00071504,0.00071504
38,202.149,0.88015,0.53275,0.88025,0.74203,0.75514,0.78766,0.53615,0.99118,0.67626,0.92891,0.000704041,0.000704041,0.000704041
39,207.303,0.85351,0.53501,0.87481,0.85333,0.71585,0.7881,0.54751,0.9598,0.66972,0.92701,0.000693042,0.000693042,0.000693042
40,212.417,0.85821,0.52997,0.87241,0.8203,0.74143,0.76491,0.52801,0.96075,0.70355,0.92123,0.000682043,0.000682043,0.000682043
41,217.444,0.83496,0.52786,0.88442,0.74297,0.71052,0.74745,0.51491,0.96986,0.71262,0.92379,0.000671044,0.000671044,0.000671044
42,222.45,0.86614,0.52597,0.86819,0.71721,0.66333,0.71638,0.46802,1.01933,0.72725,0.93743,0.000660045,0.000660045,0.000660045
43,227.599,0.8693,0.52481,0.88413,0.75553,0.66843,0.7313,0.46573,1.02798,0.70178,0.93973,0.000649046,0.000649046,0.000649046
44,232.753,0.85964,0.53231,0.87124,0.78697,0.69602,0.74849,0.48894,0.98449,0.68734,0.93594,0.000638047,0.000638047,0.000638047
45,237.852,0.83036,0.5085,0.87114,0.8076,0.6905,0.76958,0.51192,0.98329,0.68412,0.92978,0.000627048,0.000627048,0.000627048
46,242.877,0.83576,0.51712,0.86593,0.83194,0.70908,0.77218,0.51201,0.97533,0.67212,0.93132,0.000616049,0.000616049,0.000616049
47,248.024,0.79269,0.50694,0.85837,0.82464,0.67364,0.74836,0.51487,1.00771,0.68523,0.93602,0.000605051,0.000605051,0.000605051
48,253.321,0.83046,0.49188,0.86365,0.67516,0.72852,0.73163,0.49761,0.97016,0.71199,0.93214,0.000594052,0.000594052,0.000594052
49,259.533,0.81474,0.49717,0.86333,0.78814,0.72209,0.78847,0.51841,0.95476,0.64031,0.93309,0.000583053,0.000583053,0.000583053
50,264.685,0.81704,0.50063,0.87195,0.72491,0.76779,0.76202,0.50772,0.96542,0.62176,0.93679,0.000572054,0.000572054,0.000572054
51,269.417,0.82637,0.49228,0.86432,0.7453,0.75684,0.75854,0.50183,0.95049,0.62049,0.93662,0.000561055,0.000561055,0.000561055
52,274.213,0.80159,0.50671,0.86629,0.72924,0.75343,0.78535,0.53385,0.96996,0.61521,0.92784,0.000550056,0.000550056,0.000550056
53,278.872,0.7815,0.46251,0.8612,0.73024,0.73188,0.79101,0.5443,0.95099,0.62548,0.93197,0.000539057,0.000539057,0.000539057
54,283.563,0.81097,0.48687,0.85959,0.79567,0.76046,0.788,0.54708,0.95759,0.62097,0.93627,0.000528058,0.000528058,0.000528058
55,288.354,0.80472,0.47941,0.8599,0.82437,0.75496,0.7975,0.54589,0.96574,0.60994,0.93536,0.000517059,0.000517059,0.000517059
56,293.457,0.79042,0.50935,0.85475,0.80384,0.75107,0.7592,0.51181,0.95423,0.62211,0.93068,0.00050606,0.00050606,0.00050606
57,298.642,0.81543,0.48813,0.85634,0.77861,0.75734,0.75823,0.51927,0.98092,0.61931,0.9416,0.000495062,0.000495062,0.000495062
58,303.633,0.77426,0.47262,0.85922,0.75406,0.78529,0.7635,0.52143,0.97349,0.60992,0.9385,0.000484063,0.000484063,0.000484063
59,308.523,0.77732,0.48029,0.85692,0.7627,0.64084,0.71798,0.49506,0.96183,0.66129,0.93288,0.000473064,0.000473064,0.000473064
